dt,average
1960-09-01,27.362416666666665
1961-09-01,25.009333333333334
1962-09-01,26.94816666666667
1963-09-01,27.31316666666667
1964-09-01,25.251083333333337
1965-09-01,24.861000000000004
1966-09-01,26.03441666666667
1967-09-01,26.066666666666663
1968-09-01,25.712833333333336
1969-09-01,27.074083333333334
1970-09-01,25.1795
1971-09-01,26.03016666666667
1972-09-01,25.945333333333334
1973-09-01,25.8445
1974-09-01,25.985833333333332
1975-09-01,26.04708333333333
1976-09-01,24.710833333333337
1977-09-01,26.921416666666673
1978-09-01,25.954750000000004
1979-09-01,27.739833333333333
1980-09-01,26.59691666666666
1981-09-01,26.742750000000004
1982-09-01,26.243250000000003
1983-09-01,27.797583333333332
1984-09-01,26.601499999999998
1985-09-01,23.894333333333336
1986-09-01,24.366083333333332
1987-09-01,25.607833333333335
1988-09-01,25.48391666666667
1989-09-01,26.988583333333327
1990-09-01,26.34316666666666
1991-09-01,25.987583333333333
1992-09-01,27.149333333333335
1993-09-01,25.954416666666663
1994-09-01,27.032333333333327
1995-09-01,27.722916666666666
1996-09-01,25.11983333333333
1997-09-01,28.142166666666668
1998-09-01,27.468666666666664
1999-09-01,26.9615
2000-09-01,28.108916666666662
2001-09-01,28.15041666666667
2002-09-01,27.363166666666668
2003-09-01,27.59075
2004-09-01,26.2235
2005-09-01,27.40033333333334
2006-09-01,24.996583333333337
2007-09-01,27.261916666666664
2008-09-01,26.919
2009-09-01,27.30841666666667
2010-09-01,28.18166666666667
2011-09-01,27.872666666666664
2012-09-01,26.862333333333336
