dt,rate
1962-01-31,0.0
1962-02-28,0.03680170465203459
1962-03-31,0.03944870842401684
1962-04-30,0.03669552652795908
1962-05-31,0.03662619348803301
1962-06-30,0.03416276027171362
1962-07-31,0.03418171843128921
1962-08-31,0.033060193622294176
1962-09-30,0.03094304386027869
1962-10-31,0.031056900836883984
1962-11-30,0.029124514696105625
1962-12-31,0.029283331012175815
1963-01-31,0.02845730447920653
1963-02-28,0.02583145448870784
1963-03-31,0.02698613184099885
1963-04-30,0.025407336773181254
1963-05-31,0.02563848133773704
1963-06-30,0.024170243360730623
1963-07-31,0.0244195912770615
1963-08-31,0.02384342027100214
1963-09-30,0.022517385609635367
1963-10-31,0.022786451942634806
1963-11-30,0.021541435617646747
1963-12-31,0.02181966340937718
1964-01-31,0.02135903843682712
1964-02-29,0.01882557527304866
1964-03-31,0.020535646051901082
1964-04-30,0.019456421510110906
1964-05-31,0.01974802021402356
1964-06-30,0.018724637351160894
1964-07-31,0.019018918464297485
1964-08-31,0.018668580333973936
1964-09-30,0.017719890219004227
1964-10-31,0.018016146197754452
1964-11-30,0.017111568677415024
1964-12-31,0.017408057475031227
1965-01-31,0.017114441481528155
1965-02-28,0.015147383009951504
1965-03-31,0.016583193238434768
1965-04-30,0.015772760248354806
1965-05-31,0.016067196069983844
1965-06-30,0.01528973919890602
1965-07-31,0.015582566281648794
1965-08-31,0.015347270777956003
1965-09-30,0.014615002256860958
1965-10-31,0.014904809583914689
1965-11-30,0.014199838567240523
1965-12-31,0.014487339699795135
1966-01-31,0.014283981889721999
1966-02-28,0.012677514730127877
1966-03-31,0.01391304897293332
1966-04-30,0.013267947983399309
1966-05-31,0.0135490268047505
1966-06-30,0.01292544335253114
1966-07-31,0.013203727849511146
1966-08-31,0.013034875377349655
1966-09-30,0.012441264322746448
1966-10-31,0.012715200076303324
1966-11-30,0.01213997659359739
1966-12-31,0.012410970363600305
1967-01-31,0.012261846188864405
1967-02-28,0.011308451771709624
1967-03-31,0.011983566481511988
1967-04-30,0.011449709873452953
1967-05-31,0.011713280103842243
1967-06-30,0.011194453067824664
1967-07-31,0.011455036869255527
1967-08-31,0.011328090170478786
1967-09-30,0.010830446274155584
1967-10-31,0.011086545695215281
1967-11-30,0.010602043808985898
1967-12-31,0.010855193889810736
1968-01-31,0.010741261657248365
1968-02-29,0.00956663294347707
1968-03-31,0.010531321971863
1968-04-30,0.010076614878708225
1968-05-31,0.010322582949128445
1968-06-30,0.009878927982939023
1968-07-31,0.010122050414410812
1968-08-31,0.01002307831574266
1968-09-30,0.009595138522837898
1968-10-31,0.009834038610373984
1968-11-30,0.009415931179522254
1968-12-31,0.00965208152093917
1969-01-31,0.009562150767944354
1969-02-28,0.008526406722256855
1969-03-31,0.009395875366855315
1969-04-30,0.009000299653443154
1969-05-31,0.009229823785177957
1969-06-30,0.008842692660566046
1969-07-31,0.00906961315995259
1969-08-31,0.00899029222858632
1969-09-30,0.008615251145814679
1969-10-31,0.008838326100742176
1969-11-30,0.00847089931342968
1969-12-31,0.008691479473422421
1970-01-31,0.008618692808358553
1970-02-28,0.007692324865696286
1970-03-31,0.008483749812892818
1970-04-30,0.00813391997518418
1970-05-31,0.008348512540910815
1970-06-30,0.008005331841250843
1970-07-31,0.008217579152055761
1970-08-31,0.008152588067489365
1970-09-30,0.007818979087885983
1970-10-31,0.008027768307632176
1970-11-30,0.007700219513507431
1970-12-31,0.007906768323321487
1971-01-31,0.007846652025127765
1971-02-28,0.0072682340633707775
1971-03-31,0.007733020442323026
1971-04-30,0.0074196653388734
1971-05-31,0.007620808169193911
1971-06-30,0.007312813551183313
1971-07-31,0.007511855575995286
1971-08-31,0.0074576608483565105
1971-09-30,0.007157417470061934
1971-10-31,0.007353363005983558
1971-11-30,0.007058048514572854
1971-12-31,0.007251988343402018
1972-01-31,0.007201523834170535
1972-02-29,0.006436513439613777
1972-03-31,0.007107582445962118
1972-04-30,0.006823801607734164
1972-05-31,0.007012934109224571
1972-06-30,0.006733564303904532
1972-07-31,0.006920815231227566
1972-08-31,0.006874912891210291
1972-09-30,0.006601945080762726
1972-10-31,0.006786421949716685
1972-11-30,0.006517539729851837
1972-12-31,0.006700219141624955
1973-01-31,0.006657236446094437
1973-02-28,0.0059532583432168155
1973-03-31,0.006577097088271216
1973-04-30,0.006317820239686834
1973-05-31,0.006496188929602531
1973-06-30,0.006240602485673963
1973-07-31,0.006417282806796804
1973-08-31,0.006377905162659141
1973-09-30,0.006127691566328081
1973-10-31,0.0063018812836723856
1973-11-30,0.006055106936013644
1973-12-31,0.006227681894259626
1974-01-31,0.006190632160411626
1974-02-28,0.005538559343048516
1974-03-31,0.006121461549648624
1974-04-30,0.005882805316589433
1974-05-31,0.006051504275435939
1974-06-30,0.005815979193438202
1974-07-31,0.005983158625363038
1974-08-31,0.005949006912665766
1974-09-30,0.005718052628046105
1974-10-31,0.005882988949033511
1974-11-30,0.005654968122427802
1974-12-31,0.005818449095350142
1975-01-31,0.005786183255839403
1975-02-28,0.0053706188186267165
1975-03-31,0.0057248270873224705
1975-04-30,0.005503800375753603
1975-05-31,0.005663760983787017
1975-06-30,0.005445421968773036
1975-07-31,0.005604010622380684
1975-08-31,0.0055741201152463725
1975-09-30,0.005359713612415647
1975-10-31,0.005516275457121586
1975-11-30,0.005304398466458174
1975-12-31,0.0054596442902959145
1976-01-31,0.005431301982173287
1976-02-29,0.004862874580400806
1976-03-31,0.005378271801555903
1976-04-30,0.005172403921498761
1976-05-31,0.005324484239053554
1976-06-30,0.005120948623578803
