dt,rate
1962-01-31,0.0
1962-02-28,0.03831959935821502
1962-03-31,0.0408595491640982
1962-04-30,0.03798927455949079
1962-05-31,0.03781887219223284
1962-06-30,0.035265217808015906
1962-07-31,0.03519941020083693
1962-08-31,0.034002540818689184
1962-09-30,0.031823601359039146
1962-10-31,0.03187016465575545
1962-11-30,0.029889511185198097
1962-12-31,0.029989457984829153
1963-01-31,0.030709758634857667
1963-02-28,0.02691140379386875
1963-03-31,0.029013962038004312
1963-04-30,0.027286342862738407
1963-05-31,0.027446960451412407
1963-06-30,0.025852015386496646
1963-07-31,0.026040548570398427
1963-08-31,0.025379648598372852
1963-09-30,0.02395303075310993
1963-10-31,0.024172461400248396
1963-11-30,0.022840591270051395
1963-12-31,0.023074899953941127
1964-01-31,0.02377904606186519
1964-02-29,0.02172823730222121
1964-03-31,0.0227327929076722
1964-04-30,0.021510483637548438
1964-05-31,0.021759443603211033
1964-06-30,0.020609083869452375
1964-07-31,0.020866023699326074
1964-08-31,0.020439531941433
1964-09-30,0.019383992468180886
1964-10-31,0.01964924473843826
1964-11-30,0.018648960151831775
1964-12-31,0.01891779495266016
1965-01-31,0.0194566066338547
1965-02-28,0.01723831019713713
1965-03-31,0.01876184942373495
1965-04-30,0.017822250101780412
1965-05-31,0.018093851950408378
1965-06-30,0.017198983446665282
1965-07-31,0.01747178593776029
1965-08-31,0.017171764543482935
1965-09-30,0.016337296447116473
1965-10-31,0.016610502295221197
1965-11-30,0.01581203381653493
1965-12-31,0.01608476870374461
1966-01-31,0.01662923804683784
1966-02-28,0.01477427205850141
1966-03-31,0.016119082075143624
1966-04-30,0.015351657065396287
1966-05-31,0.01562353186424596
1966-06-30,0.014886960070378015
1966-07-31,0.015157542345067854
1966-08-31,0.014931221719589579
1966-09-30,0.014236993696550838
1966-10-31,0.014505051821748154
1966-11-30,0.013836448521439976
1966-12-31,0.014102534479803008
1967-01-31,0.014350510569181175
1967-02-28,0.012778375272436915
1967-03-31,0.013968985963946808
1967-04-30,0.01333213707778791
1967-05-31,0.013595287411663255
1967-06-30,0.012980259396055224
1967-07-31,0.013241062286104076
1967-08-31,0.013068027717144827
1967-09-30,0.012483345727970815
1967-10-31,0.012740414256356806
1967-11-30,0.012174327179750623
1967-12-31,0.012428825497673573
1968-01-31,0.012866927296844188
1968-02-29,0.01188389375812309
1968-03-31,0.012554278921085649
1968-04-30,0.011998667562435504
1968-05-31,0.012251620031985046
1968-06-30,0.011712904428042752
1968-07-31,0.011963210632849159
1968-08-31,0.011821784139136591
1968-09-30,0.011306770068618433
1968-10-31,0.011553034895085672
1968-11-30,0.01105266453107168
1968-12-31,0.011296233206016632
1969-01-31,0.01187282159358026
1969-02-28,0.010598010569973516
1969-03-31,0.011610463883510896
1969-04-30,0.011106975650845296
1969-05-31,0.011351131432114048
1969-06-30,0.010861673617243845
1969-07-31,0.011103130821373928
1969-08-31,0.010981205064961329
1969-09-30,0.010511543231734137
1969-10-31,0.010748940058010128
1969-11-30,0.01029157651705464
1969-12-31,0.010526296877863313
1970-01-31,0.01116896162427885
1970-02-28,0.009976665377575994
1970-03-31,0.01093648416793701
1970-04-30,0.010469198136398405
1970-05-31,0.01070608725883334
1970-06-30,0.010250981700745745
1970-07-31,0.010485197522835155
1970-08-31,0.010376398930473407
1970-09-30,0.009938550024484627
1970-10-31,0.010168772174358291
1970-11-30,0.009741686277161536
1970-12-31,0.009969291443419495
1971-01-31,0.010248380719236068
1971-02-28,0.009162699111049359
1971-03-31,0.010052310575770853
1971-04-30,0.009631226413546941
1971-05-31,0.009857329125359306
1971-06-30,0.009446236108162748
1971-07-31,0.009669767735956554
1971-08-31,0.00957715883445699
1971-09-30,0.00918029706376668
1971-10-31,0.00940001206275316
1971-11-30,0.009012072279047044
1971-12-31,0.009229299573507174
1972-01-31,0.009484015474096637
1972-02-29,0.008788790483085684
1972-03-31,0.009313063401684725
1972-04-30,0.008929481177282188
1972-05-31,0.00914546628084599
1972-06-30,0.008770243275378575
1972-07-31,0.008983794653246191
1972-08-31,0.008903804700187102
1972-09-30,0.008540541876824428
1972-10-31,0.008750492657071358
1972-11-30,0.0083947604110568
1972-12-31,0.008602370915291126
1973-01-31,0.009017510932709144
1973-02-28,0.008072058706744888
1973-03-31,0.00886536042976492
1973-04-30,0.008503990123526485
1973-05-31,0.008713358149332813
1973-06-30,0.008359443256972356
1973-07-31,0.008566480359064649
1973-08-31,0.008493719081378607
1973-09-30,0.008150500085173294
1973-10-31,0.008354093382520076
1973-11-30,0.008017626498736257
1973-12-31,0.008218983971676906
1974-01-31,0.008167884091539207
1974-02-28,0.007317673784293988
1974-03-31,0.00804285527002232
1974-04-30,0.007721306971362022
1974-05-31,0.007917550036117393
1974-06-30,0.007601956326654022
1974-07-31,0.007796089340192935
1974-08-31,0.007735780504265558
1974-09-30,0.007428771849234448
1974-10-31,0.007619791882111361
1974-11-30,0.007318228763852545
1974-12-31,0.007507230095426374
1975-01-31,0.007407773284993626
1975-02-28,0.006641691851881497
1975-03-31,0.007304785558431402
1975-04-30,0.007017883182885956
1975-05-31,0.007201274916185822
1975-06-30,0.006919149030982975
1975-07-31,0.007100656829196636
1975-08-31,0.007050592987946885
1975-09-30,0.006775384029336863
1975-10-31,0.006954113374949237
1975-11-30,0.006683310637156881
1975-12-31,0.00686023855310005
1976-01-31,0.0071911004028015185
1976-02-29,0.006679128160127815
1976-03-31,0.0070923867284916845
1976-04-30,0.006815263574900935
1976-05-31,0.006994767840916472
1976-06-30,0.006722110565820032
