dt,average
1960-02-01,3.16375
1961-02-01,5.218249999999999
1962-02-01,3.6587500000000004
1963-02-01,6.690625
1964-02-01,2.96475
1965-02-01,3.711875
1966-02-01,3.2766250000000006
1967-02-01,4.173374999999999
1968-02-01,6.043875
1969-02-01,1.8305
1970-02-01,5.334625
1971-02-01,3.1735
1972-02-01,3.0438750000000003
1973-02-01,4.35025
1974-02-01,3.33325
1975-02-01,2.341125
1976-02-01,2.7818750000000003
1977-02-01,5.251125000000001
1978-02-01,4.933125
1979-02-01,2.448125
1980-02-01,4.21325
1981-02-01,4.257125
1982-02-01,2.9087499999999995
1983-02-01,5.52425
1984-02-01,4.549375
1985-02-01,1.39525
1986-02-01,3.724500000000001
1987-02-01,4.9045000000000005
1988-02-01,4.547125
1989-02-01,-0.6866249999999998
1990-02-01,2.150375
1991-02-01,6.822125
1992-02-01,6.568000000000001
1993-02-01,2.012875
1994-02-01,2.322875
1995-02-01,5.509124999999999
1996-02-01,3.211
1997-02-01,3.7131250000000007
1998-02-01,5.046875
1999-02-01,3.42075
2000-02-01,4.239875
2001-02-01,2.8294999999999995
2002-02-01,3.7760000000000007
2003-02-01,3.90425
2004-02-01,4.421625
2005-02-01,4.331875
2006-02-01,2.942875000000001
2007-02-01,4.407
2008-02-01,4.072
2009-02-01,3.3030000000000004
2010-02-01,5.742625000000001
2011-02-01,2.012125
2012-02-01,3.744875
