dt,average
1960-03-01,5.3555
1961-03-01,4.43025
1962-03-01,2.0244999999999997
1963-03-01,3.83
1964-03-01,-0.0724999999999999
1965-03-01,2.43425
1966-03-01,4.5825000000000005
1967-03-01,5.893749999999999
1968-03-01,5.924249999999999
1969-03-01,1.8392500000000003
1970-03-01,3.43325
1971-03-01,3.41925
1972-03-01,7.421250000000001
1973-03-01,3.0632500000000005
1974-03-01,6.50325
1975-03-01,3.45975
1976-03-01,1.6650000000000003
1977-03-01,2.2905
1978-03-01,7.496
1979-03-01,4.44575
1980-03-01,3.5820000000000003
1981-03-01,5.43975
1982-03-01,4.49875
1983-03-01,5.367
1984-03-01,2.532
1985-03-01,2.688250000000001
1986-03-01,8.31375
1987-03-01,4.521750000000001
1988-03-01,3.9030000000000005
1989-03-01,6.7065
1990-03-01,6.4742500000000005
1991-03-01,4.26025
1992-03-01,7.662750000000001
1993-03-01,5.49875
1994-03-01,6.784749999999999
1995-03-01,5.3252500000000005
1996-03-01,5.792
1997-03-01,6.2505000000000015
1998-03-01,4.636
1999-03-01,5.98775
2000-03-01,4.89875
2001-03-01,6.61575
2002-03-01,3.0665000000000004
2003-03-01,6.1312500000000005
2004-03-01,8.47925
2005-03-01,5.17025
2006-03-01,3.7755
2007-03-01,7.3485000000000005
2008-03-01,3.72675
2009-03-01,4.7085
2010-03-01,4.852750000000001
2011-03-01,5.2485
2012-03-01,7.398249999999999
