dt,average
1960-03-01,8.42315789473684
1961-03-01,13.940947368421055
1962-03-01,11.051526315789474
1963-03-01,14.802684210526321
1964-03-01,11.944842105263158
1965-03-01,7.763789473684212
1966-03-01,13.265157894736847
1967-03-01,16.269526315789474
1968-03-01,11.75457894736842
1969-03-01,8.33015789473684
1970-03-01,10.041789473684211
1971-03-01,12.402052631578947
1972-03-01,15.514052631578947
1973-03-01,14.151263157894736
1974-03-01,16.15221052631579
1975-03-01,10.999684210526315
1976-03-01,14.014315789473686
1977-03-01,13.504894736842106
1978-03-01,11.607
1979-03-01,13.071157894736846
1980-03-01,11.617473684210529
1981-03-01,12.662736842105259
1982-03-01,14.169578947368427
1983-03-01,11.649736842105265
1984-03-01,12.346
1985-03-01,14.79152631578947
1986-03-01,14.858789473684208
1987-03-01,11.444684210526315
1988-03-01,12.39794736842105
1989-03-01,12.788526315789472
1990-03-01,13.123578947368422
1991-03-01,14.26873684210527
1992-03-01,14.25236842105263
1993-03-01,11.890631578947369
1994-03-01,13.784526315789474
1995-03-01,12.41621052631579
1996-03-01,10.68015789473684
1997-03-01,13.929473684210524
1998-03-01,11.381684210526316
1999-03-01,12.293210526315786
2000-03-01,14.63889473684211
2001-03-01,10.407315789473685
2002-03-01,11.187263157894737
2003-03-01,12.617157894736842
2004-03-01,15.559157894736844
2005-03-01,12.472999999999999
2006-03-01,14.990578947368416
2007-03-01,16.267578947368424
2008-03-01,13.337736842105263
2009-03-01,14.026736842105262
2010-03-01,11.796736842105261
2011-03-01,14.899894736842105
2012-03-01,16.843
