dt,average
1960-04-01,8.540700000000001
1961-04-01,5.794700000000001
1962-04-01,8.6223
1963-04-01,8.680900000000003
1964-04-01,6.5189
1965-04-01,8.493800000000004
1966-04-01,6.444200000000002
1967-04-01,8.387200000000002
1968-04-01,5.149800000000001
1969-04-01,9.1359
1970-04-01,4.8612
1971-04-01,7.0337000000000005
1972-04-01,8.0357
1973-04-01,4.139299999999999
1974-04-01,7.1191
1975-04-01,5.775900000000002
1976-04-01,7.8411
1977-04-01,8.2885
1978-04-01,8.2625
1979-04-01,7.644600000000002
1980-04-01,5.751800000000001
1981-04-01,10.8255
1982-04-01,6.857200000000001
1983-04-01,3.6680000000000006
1984-04-01,4.228400000000001
1985-04-01,8.8202
1986-04-01,8.4694
1987-04-01,8.532500000000002
1988-04-01,7.466199999999999
1989-04-01,8.6423
1990-04-01,7.796200000000001
1991-04-01,6.9819
1992-04-01,9.8701
1993-04-01,6.8494
1994-04-01,7.1203
1995-04-01,5.040899999999999
1996-04-01,7.737399999999999
1997-04-01,4.2212
1998-04-01,6.174200000000001
1999-04-01,5.420700000000001
2000-04-01,8.740199999999998
2001-04-01,8.7638
2002-04-01,9.2942
2003-04-01,9.005899999999999
2004-04-01,7.7979
2005-04-01,7.0541
2006-04-01,9.4581
2007-04-01,6.5568
2008-04-01,6.1599
2009-04-01,6.4563000000000015
2010-04-01,7.6557
2011-04-01,7.469199999999999
2012-04-01,10.3049
