dt,average
1960-10-01,16.41330769230769
1961-10-01,15.092307692307694
1962-10-01,16.725769230769227
1963-10-01,17.563307692307692
1964-10-01,13.545076923076921
1965-10-01,14.536307692307693
1966-10-01,13.845615384615389
1967-10-01,14.692692307692308
1968-10-01,15.382769230769231
1969-10-01,15.537923076923077
1970-10-01,16.070923076923073
1971-10-01,18.607
1972-10-01,14.799153846153846
1973-10-01,17.499846153846157
1974-10-01,14.073076923076924
1975-10-01,16.195384615384615
1976-10-01,12.429538461538462
1977-10-01,13.764999999999999
1978-10-01,14.378923076923076
1979-10-01,15.08453846153846
1980-10-01,13.912076923076922
1981-10-01,14.56746153846154
1982-10-01,15.750615384615383
1983-10-01,16.158615384615384
1984-10-01,18.913846153846148
1985-10-01,17.86046153846154
1986-10-01,16.180692307692308
1987-10-01,12.332846153846154
1988-10-01,12.514692307692307
1989-10-01,15.362307692307688
1990-10-01,15.382692307692306
1991-10-01,16.22453846153846
1992-10-01,14.611076923076922
1993-10-01,14.737615384615385
1994-10-01,15.785307692307695
1995-10-01,15.642076923076926
1996-10-01,15.535230769230767
1997-10-01,15.427692307692306
1998-10-01,17.391615384615385
1999-10-01,15.669076923076924
2000-10-01,16.871230769230767
2001-10-01,14.56446153846154
2002-10-01,17.060000000000002
2003-10-01,15.682692307692308
2004-10-01,17.893384615384615
2005-10-01,16.175230769230765
2006-10-01,14.461384615384615
2007-10-01,18.069461538461535
2008-10-01,15.303230769230769
2009-10-01,14.48092307692308
2010-10-01,16.283153846153848
2011-10-01,14.561153846153845
2012-10-01,14.878384615384615
