dt,average
1960-05-01,12.243100000000002
1961-05-01,12.314199999999998
1962-05-01,14.002199999999998
1963-05-01,14.676300000000001
1964-05-01,13.433700000000002
1965-05-01,12.695799999999998
1966-05-01,13.913499999999999
1967-05-01,10.821000000000002
1968-05-01,10.7514
1969-05-01,13.740600000000004
1970-05-01,13.693300000000002
1971-05-01,11.173399999999999
1972-05-01,12.330699999999998
1973-05-01,11.3813
1974-05-01,14.5624
1975-05-01,11.330400000000001
1976-05-01,12.102599999999999
1977-05-01,14.1571
1978-05-01,11.310999999999998
1979-05-01,11.241900000000001
1980-05-01,11.266699999999998
1981-05-01,11.702099999999998
1982-05-01,11.7796
1983-05-01,10.0064
1984-05-01,13.7018
1985-05-01,13.5966
1986-05-01,12.284999999999998
1987-05-01,13.298499999999999
1988-05-01,12.9329
1989-05-01,13.5545
1990-05-01,11.347399999999999
1991-05-01,13.710399999999996
1992-05-01,13.8654
1993-05-01,12.7551
1994-05-01,14.520200000000003
1995-05-01,9.409600000000001
1996-05-01,13.993100000000002
1997-05-01,12.577699999999997
1998-05-01,14.336400000000001
1999-05-01,11.808699999999998
2000-05-01,14.536599999999998
2001-05-01,12.937599999999998
2002-05-01,12.8122
2003-05-01,13.301999999999998
2004-05-01,14.2489
2005-05-01,12.9044
2006-05-01,14.377300000000002
2007-05-01,13.324000000000002
2008-05-01,12.159799999999999
2009-05-01,13.5124
2010-05-01,11.441799999999999
2011-05-01,10.7836
2012-05-01,14.285700000000002
