dt,average
1960-12-01,6.4419999999999975
1961-12-01,5.071999999999999
1962-12-01,7.134999999999999
1963-12-01,6.29
1964-12-01,6.665
1965-12-01,6.104
1966-12-01,6.8389999999999995
1967-12-01,4.051000000000001
1968-12-01,4.041
1969-12-01,7.287
1970-12-01,5.6560000000000015
1971-12-01,4.154
1972-12-01,4.154
1973-12-01,6.899
1974-12-01,5.234999999999999
1975-12-01,7.555999999999998
1976-12-01,6.167000000000002
1977-12-01,9.062
1978-12-01,4.186
1979-12-01,7.433
1980-12-01,9.818
1981-12-01,8.024
1982-12-01,5.492999999999999
1983-12-01,7.027
1984-12-01,4.704
1985-12-01,7.259999999999999
1986-12-01,6.222
1987-12-01,3.932
1988-12-01,6.061
1989-12-01,7.353000000000001
1990-12-01,2.9619999999999997
1991-12-01,6.3870000000000005
1992-12-01,4.121000000000001
1993-12-01,6.015
1994-12-01,6.496000000000001
1995-12-01,7.887999999999999
1996-12-01,7.06
1997-12-01,5.702000000000001
1998-12-01,6.537
1999-12-01,7.415999999999998
2000-12-01,8.137
2001-12-01,5.54
2002-12-01,6.257999999999999
2003-12-01,6.592
2004-12-01,6.8629999999999995
2005-12-01,7.194999999999999
2006-12-01,6.271
2007-12-01,4.759999999999999
2008-12-01,5.473
2009-12-01,4.6610000000000005
2010-12-01,8.099000000000002
2011-12-01,5.6129999999999995
2012-12-01,6.691
