dt,average
1960-12-01,5.323894736842105
1961-12-01,6.488999999999998
1962-12-01,7.581894736842106
1963-12-01,3.4779473684210536
1964-12-01,7.284263157894735
1965-12-01,9.742789473684208
1966-12-01,6.174315789473684
1967-12-01,6.587842105263157
1968-12-01,6.869736842105263
1969-12-01,8.16242105263158
1970-12-01,10.499210526315792
1971-12-01,9.183947368421052
1972-12-01,4.985000000000001
1973-12-01,7.814736842105261
1974-12-01,6.733210526315787
1975-12-01,7.874315789473684
1976-12-01,6.315210526315789
1977-12-01,8.194789473684212
1978-12-01,6.389894736842105
1979-12-01,8.066526315789474
1980-12-01,8.654315789473685
1981-12-01,7.610684210526315
1982-12-01,8.02947368421053
1983-12-01,0.7318421052631572
1984-12-01,10.12678947368421
1985-12-01,4.897999999999999
1986-12-01,6.683368421052629
1987-12-01,7.1452631578947345
1988-12-01,8.163421052631582
1989-12-01,2.718
1990-12-01,5.554842105263158
1991-12-01,8.595315789473684
1992-12-01,7.810736842105263
1993-12-01,8.277421052631576
1994-12-01,8.481
1995-12-01,7.694421052631578
1996-12-01,8.567368421052633
1997-12-01,6.204631578947368
1998-12-01,7.645842105263159
1999-12-01,8.640105263157892
2000-12-01,3.3162631578947357
2001-12-01,8.633894736842104
2002-12-01,7.680157894736842
2003-12-01,8.507894736842104
2004-12-01,7.678315789473683
2005-12-01,6.916631578947368
2006-12-01,8.137315789473686
2007-12-01,7.416473684210527
2008-12-01,7.141210526315789
2009-12-01,4.464736842105261
2010-12-01,7.904578947368422
2011-12-01,6.847578947368419
2012-12-01,8.967368421052631
