dt,rate
1960-01-31,0.0
1960-02-29,0.9002346700126133
1960-03-31,0.5265252259134277
1960-04-30,0.33351016650682497
1960-05-31,0.2587933471889847
1960-06-30,0.1987890622828205
1960-07-31,0.1715892246090552
1960-08-31,0.14649865451724045
1960-09-30,0.12355314589810841
1960-10-31,0.11378902890946366
1960-11-30,0.09878502490291115
1960-12-31,0.09302903632450941
1961-01-31,0.08513451288113547
1961-02-28,0.07324427692899627
1961-03-31,0.07313969553732078
1961-04-30,0.0659007549713574
1961-05-31,0.06397548751150531
1961-06-30,0.058140052597250774
1961-07-31,0.05685546134575904
1961-08-31,0.05381151279532698
1961-09-30,0.049374829269259166
1961-10-31,0.048687199076556206
1961-11-30,0.04489129209137042
1961-12-31,0.04445603851072023
1962-01-31,0.042575430189653964
1962-02-28,0.03676262937630937
1962-03-31,0.039409161123507154
1962-04-30,0.03666095528692219
1962-05-31,0.036593727132847996
1962-06-30,0.03413431042916054
1962-07-31,0.034154956281369844
1962-08-31,0.03303591543141044
1962-09-30,0.030921737978703533
1962-10-31,0.031036851050499234
1962-11-30,0.02910692807616068
1962-12-31,0.029266801507979
1963-01-31,0.028442342910157178
1963-02-28,0.024896601402406508
1963-03-31,0.026997876890242602
1963-04-30,0.025418669948548005
1963-05-31,0.02565020494104515
1963-06-30,0.02418155704137884
1963-07-31,0.02443129492598578
1963-08-31,0.023855114278932697
1963-09-30,0.022528672272147245
1963-10-31,0.02279812787300189
1963-11-30,0.021552705711777646
1963-12-31,0.021831322308165993
1964-01-31,0.021370689034801417
1964-02-29,0.018836032199941177
1964-03-31,0.020547281479712028
1964-04-30,0.019467654307903984
1964-05-31,0.01975964069053336
1964-06-30,0.018735856321565682
1964-07-31,0.019030524669894314
1964-08-31,0.018680179520399066
1964-09-30,0.017731089446064042
1964-10-31,0.018027732005474032
1964-11-30,0.01712275546632224
1964-12-31,0.017419630420677002
1965-01-31,0.017126008068808304
1965-02-28,0.015719239867893534
1965-03-31,0.01658572405569609
1965-04-30,0.015775475050845655
1965-05-31,0.016070271845819505
1965-06-30,0.01529295583878736
1965-07-31,0.015586137401479107
1965-08-31,0.015351076626134788
1965-09-30,0.014618892406054218
1965-10-31,0.014909046595250865
1965-11-30,0.01420412714824941
1965-12-31,0.014491971249590932
1966-01-31,0.014288801302786118
1966-02-28,0.012681999948886441
1966-03-31,0.013918203745105199
1966-04-30,0.013273086404760761
1966-05-31,0.013554501486452594
1966-06-30,0.012930878592673008
1966-07-31,0.013209497540142105
1966-08-31,0.013040786327557105
1966-09-30,0.01244710485258284
1966-10-31,0.012721373050939736
1966-11-30,0.012146060833972105
1966-12-31,0.012417386108934995
1967-01-31,0.01226837857833307
1967-02-28,0.010910501876032992
1967-03-31,0.011994998631835152
1967-04-30,0.011460752296275627
1967-05-31,0.01172470335782292
1967-06-30,0.011205487060753689
1967-07-31,0.011466451370406567
1967-08-31,0.011339500273127846
1967-09-30,0.010841467793805262
1967-10-31,0.011097947244557932
1967-11-30,0.010613057209266774
1967-12-31,0.010866587007977999
1968-01-31,0.010752650532850204
1968-02-29,0.009576868488179943
1968-03-31,0.010542702865163569
1968-04-30,0.01008760864932565
1968-05-31,0.010333955683317315
1968-06-30,0.009889913991905532
1968-07-31,0.010133415088665389
1968-08-31,0.010034438927985136
1968-09-30,0.009606112992538664
1968-10-31,0.009845391302043333
1968-11-30,0.00942689810453764
1968-12-31,0.009663426378222376
1969-01-31,0.009573491673233141
1969-02-28,0.008852810281179775
1969-03-31,0.009404343836357331
1969-04-30,0.009008529392643258
1969-05-31,0.009238386259966072
1969-06-30,0.008851010708559452
1969-07-31,0.009078264395883358
1969-08-31,0.008998986703065365
1969-09-30,0.008623693261293853
1969-10-31,0.008847102098511372
1969-11-30,0.008479418092791577
1969-12-31,0.008700332598859046
1970-01-31,0.008627583559458423
1970-02-28,0.007700351023231202
1970-03-31,0.00849270925625608
1970-04-30,0.008142611378185944
1970-05-31,0.00835753943262258
1970-06-30,0.008014086753615635
1970-07-31,0.008226670008086422
1970-08-31,0.008161710182043862
1970-09-30,0.007827823699340684
1970-10-31,0.00803694953722323
1970-11-30,0.007709119833008199
1970-12-31,0.007916005698692377
1971-01-31,0.007855916868251286
1971-02-28,0.007016980620176983
1971-03-31,0.007744266409158852
1971-04-30,0.007430530296167323
1971-05-31,0.007632047170107002
1971-06-30,0.00732367183666781
1971-07-31,0.007523087652954003
1971-08-31,0.007468889420232254
1971-09-30,0.007168265763800095
1971-10-31,0.007364584714174951
1971-11-30,0.007068890230509042
1971-12-31,0.007263203225980334
1972-01-31,0.007212735260245602
1972-02-29,0.0064465935813949595
1972-03-31,0.007118787330165666
1972-04-30,0.006834627194349952
1972-05-31,0.007024132256148115
1972-06-30,0.006744383429121177
1972-07-31,0.006932006674380486
1972-08-31,0.006886100938142976
1972-09-30,0.006612754517230427
1972-10-31,0.0067976033412506754
1972-11-30,0.006528342780434153
1972-12-31,0.006711393908471583
1973-01-31,0.0066684078559061674
1973-02-28,0.006184193335861199
1973-03-31,0.00658687360588746
1973-04-30,0.0063272825115746655
1973-05-31,0.006505993459720001
1973-06-30,0.006250091244837518
1973-07-31,0.006427114101486324
1973-08-31,0.006387749607608416
1973-09-30,0.00613721807335881
1973-10-31,0.00631175072517985
1973-11-30,0.006064657086218566
1973-12-31,0.006237575230849538
1974-01-31,0.0062005372415375945
1974-02-28,0.005547478259205533
1974-03-31,0.00613138822166595
1974-04-30,0.005892409608770082
1974-05-31,0.006061452335642782
1974-06-30,0.005825603722939969
